Sequence ID,H_F1-FR1,H_F2-FR1,H_F3-FR1,H_F4-FR1,H_F5-FR1,H_F1-CDR1,H_F2-CDR1,H_F3-CDR1,H_F4-CDR1,H_F5-CDR1,H_F1-FR2,H_F2-FR2,H_F3-FR2,H_F4-FR2,H_F5-FR2,H_F1-CDR2,H_F2-CDR2,H_F3-CDR2,H_F4-CDR2,H_F5-CDR2,H_F1-FR3,H_F2-FR3,H_F3-FR3,H_F4-FR3,H_F5-FR3,L_F1-FR1,L_F2-FR1,L_F3-FR1,L_F4-FR1,L_F5-FR1,L_F1-CDR1,L_F2-CDR1,L_F3-CDR1,L_F4-CDR1,L_F5-CDR1,L_F1-FR2,L_F2-FR2,L_F3-FR2,L_F4-FR2,L_F5-FR2,L_F1-CDR2,L_F2-CDR2,L_F3-CDR2,L_F4-CDR2,L_F5-CDR2,L_F1-FR3,L_F2-FR3,L_F3-FR3,L_F4-FR3,L_F5-FR3,is_sarscov2_related
002-13,-0.239,0.239,-1.156,0.706,-0.506,-0.155,0.578,1.062,0.309,1.003,-0.136,-0.207,0.074,0.12,0.12,0.264,0.597,-1.218,0.143,-0.717,0.124,0.085,-0.027,0.271,0.048,-0.044,0.319,-0.316,0.315,-0.147,-0.212,0.707,-0.894,0.501,-0.345,-0.032,0.384,-0.153,0.232,-0.142,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
002-18,-0.277,0.346,-0.94,0.735,-0.397,-0.378,0.42,1.068,-0.029,0.524,-0.055,-0.017,-0.142,0.26,-0.0,0.644,0.006,-0.677,0.113,-0.3,0.089,0.069,-0.1,0.28,-0.02,-0.201,0.265,-1.093,0.539,-0.543,-0.034,0.759,-1.294,0.351,-0.556,0.106,-0.169,-0.183,0.29,0.125,-0.401,0.583,-1.388,1.095,-0.243,-0.158,0.415,-0.52,0.473,-0.359,1
002-S13A2,-0.286,0.228,-1.022,0.756,-0.485,-0.293,0.734,-0.334,0.596,-0.249,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.023,0.032,-0.015,0.212,0.02,-0.225,0.261,-1.273,0.501,-0.733,0.635,0.353,-0.93,-0.05,-0.545,0.275,-0.04,0.108,0.109,0.383,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
002-S13A6,-0.019,0.145,-1.389,0.518,-0.723,-0.254,0.874,0.319,0.501,0.423,-0.043,0.048,0.35,0.215,0.394,-0.816,-0.098,0.718,0.635,0.309,0.063,0.016,-0.149,0.361,-0.083,-0.215,0.587,-1.165,0.614,-0.555,0.042,0.627,0.149,0.365,0.254,-0.136,0.081,-0.215,0.19,-0.119,-0.28,1.483,-2.73,0.795,-1.077,0.035,0.314,-0.705,0.489,-0.343,1
002-S13D6,-0.239,0.239,-1.156,0.706,-0.506,-0.413,0.142,0.628,0.354,0.344,-0.16,-0.116,0.212,0.254,0.115,0.472,0.481,0.184,0.126,0.498,0.124,0.085,-0.027,0.271,0.048,-0.089,0.554,-1.001,0.503,-0.63,0.267,-0.02,-0.54,0.273,-0.191,-0.024,0.126,0.069,0.175,0.018,0.884,0.38,-2.628,0.045,-1.414,-0.008,0.313,-0.323,0.488,-0.277,1
002-S13E1,-0.239,0.239,-1.156,0.706,-0.506,-0.413,0.142,0.628,0.354,0.344,-0.16,-0.116,0.212,0.254,0.115,0.472,0.481,0.184,0.126,0.498,0.124,0.085,-0.027,0.271,0.048,-0.089,0.554,-1.001,0.503,-0.63,0.267,-0.02,-0.54,0.273,-0.191,-0.024,0.126,0.069,0.175,0.018,0.884,0.38,-2.628,0.045,-1.414,-0.008,0.313,-0.323,0.488,-0.277,1
002-S13F5,-0.112,0.122,-0.113,0.537,-0.08,-0.527,0.844,-2.13,0.755,-1.087,-0.125,-0.061,0.08,0.469,0.242,0.487,0.091,-0.648,-0.518,-0.848,0.055,0.202,-0.036,0.33,0.01,-0.185,0.738,-1.124,0.525,-0.495,-0.056,0.91,-0.751,0.502,-0.235,-0.17,0.127,0.116,0.153,0.149,0.351,0.603,-1.711,-0.324,-0.597,0.093,0.469,-0.987,0.393,-0.535,1
002-S21B10,-0.129,0.095,-0.238,0.547,-0.13,-0.474,0.705,-0.038,0.666,0.196,-0.161,-0.068,-0.185,0.413,-0.038,0.487,0.091,-0.648,-0.518,-0.848,0.092,0.134,0.015,0.329,0.053,-0.212,0.47,-1.397,0.575,-0.829,0.202,0.766,0.597,0.165,0.657,-0.015,-0.035,0.029,-0.052,0.175,-0.069,-0.111,-1.276,0.675,-1.582,0.059,0.343,-0.624,0.386,-0.165,1
002-S21E9,-0.239,0.239,-1.156,0.706,-0.506,-0.305,0.533,0.665,0.07,0.632,-0.156,-0.189,-0.069,0.217,0.022,-0.066,0.359,-0.512,-0.169,-0.463,0.124,0.085,-0.027,0.271,0.048,-0.211,0.369,-1.434,0.465,-0.833,0.261,0.481,0.199,-0.055,0.038,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.172,0.401,-0.478,0.431,-0.352,1
002-S21F3,-0.019,0.145,-1.389,0.518,-0.723,-0.254,0.874,0.319,0.501,0.423,-0.043,0.208,-0.021,0.388,0.294,-0.621,0.573,-0.225,0.625,-0.229,0.088,0.014,-0.25,0.312,-0.094,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,-0.207,0.649,-1.335,0.581,-0.992,-0.008,0.255,-0.762,0.537,-0.373,1
